MolName	MolCounts
DISULFOXRED-MONOMER[p]	1461
DLACTDEHYDROGFAD-MONOMER[c]	918
DLACTDEHYDROGNAD-MONOMER[c]	1
DMBPPRIBOSYLTRANS-MONOMER[c]	1
DMK-MONOMER[i]	72
DMSA-MONOMER[i]	0
DMSB-MONOMER[c]	7
DMSC-MONOMER[i]	7
DPPA-MONOMER[i]	6823
DPPB-MONOMER[i]	0
DPPC-MONOMER[i]	11
DPPD-MONOMER[i]	99
DPPF-MONOMER[i]	125
DSBBPROT-MONOMER[i]	456
DSBC-MONOMER[p]	1
DSBD-MONOMER[i]	115
DSBG-MONOMER[p]	1
DSDX-MONOMER[i]	5
DSERDEAM-MONOMER[c]	97
DTDPDEHYDRHAMEPIM-MONOMER[c]	0
DTDPDEHYRHAMREDUCT-MONOMER[c]	215
DTDPGLUCDEHYDRAT-MONOMER[c]	0
DTDPGLUCDEHYDRAT2-MONOMER[c]	82
DTDPGLUCOSEPP-MONOMER[c]	1
DTDPGLUCOSEPP2-MONOMER[c]	1
DTMPKI-MONOMER[c]	128
DUTP-PYROP-MONOMER[c]	0
DXPREDISOM-MONOMER[c]	1
DXS-MONOMER[c]	1
E1O-MONOMER[c]	11
E1P-MONOMER[c]	1
E2O-MONOMER[c]	2
E2P-MONOMER[c]	12
E3-MONOMER[i]	1
EG10003-MONOMER[i]	180
EG10004-MONOMER[c]	9
EG10010-MONOMER[o]	8
EG10011-MONOMER[c]	374
EG10013-MONOMER[e]	84
EG10015-MONOMER[c]	384
EG10018-MONOMER[i]	19
EG10021-MONOMER[c]	249
EG10037-MONOMER[c]	18
EG10040-MONOMER[p]	99
EG10041-MONOMER[c]	160
EG10042-MONOMER[i]	45
EG10043-MONOMER[c]	217
EG10044-MONOMER[i]	2802
EG10047-MONOMER[c]	31
EG10048-MONOMER[c]	121
EG10083-MONOMER[c]	58
EG10085-MONOMER[c]	23
EG10087-MONOMER[c]	47
EG10090-MONOMER[c]	5
EG10106-MONOMER[i]	31
EG10108-MONOMER[c]	8993
EG10113-MONOMER[c]	20
EG10114-MONOMER[c]	7
EG10116-MONOMER[c]	1
EG10119-MONOMER[c]	62
EG10122-MONOMER[c]	116
EG10124-MONOMER[c]	4
EG10125-MONOMER[c]	0
EG10126-MONOMER[e]	25
EG10136-MONOMER[c]	93
EG10143-MONOMER[c]	30
EG10144-MONOMER[c]	1
EG10145-MONOMER[i]	21
EG10153-MONOMER[c]	1
EG10154-MONOMER[c]	0
EG10155-MONOMER[o]	6345
EG10156-MONOMER[c]	3
EG10157-MONOMER[c]	3
EG10158-MONOMER[c]	12
EG10159-MONOMER[c]	3
