MolName	MolCounts
EG10207_RNA__alpha	1
EG10208_RNA__alpha	1
EG10209_RNA__alpha	1
EG10210_RNA__alpha	1
EG10211_RNA__alpha	1
EG10212_RNA__alpha	1
EG10213_RNA__alpha	1
EG10214_RNA__alpha	1
EG10215_RNA__alpha	1
EG10216_RNA__alpha	1
EG10217_RNA__alpha	1
EG10218_RNA__alpha	1
EG10219_RNA__alpha	1
EG10220_RNA__alpha	1
EG10221_RNA__alpha	1
EG10222_RNA__alpha	1
EG10223_RNA__alpha	1
EG10224_RNA__PHOSPHO-BASR	0
EG10224_RNA__alpha	1
EG10225_RNA__alpha	1
EG10226_RNA__alpha	1
EG10227_RNA__alpha	1
EG10228_RNA__alpha	1
EG10229_RNA__alpha	1
EG10230_RNA__alpha	1
EG10231_RNA__alpha	1
EG10232_RNA__PHOSPHO-NARL	0
EG10232_RNA__FNR-4FE-4S-CPLX	0
EG10232_RNA__alpha	1
EG10233_RNA__PHOSPHO-NARL	0
EG10233_RNA__FNR-4FE-4S-CPLX	0
EG10233_RNA__alpha	1
EG10234_RNA__PHOSPHO-NARL	0
EG10234_RNA__FNR-4FE-4S-CPLX	0
EG10234_RNA__alpha	1
EG10235_RNA__CPLX0-7671	0
EG10235_RNA__alpha	1
EG10236_RNA__alpha	1
EG10237_RNA__alpha	1
EG10238_RNA__alpha	1
EG10239_RNA__alpha	1
EG10240_RNA__alpha	1
EG10241_RNA__alpha	1
EG10242_RNA__alpha	1
EG10243_RNA__alpha	1
EG10244_RNA__alpha	1
EG10245_RNA__alpha	1
EG10246_RNA__alpha	1
EG10247_RNA__alpha	1
EG10248_RNA__alpha	1
EG10249_RNA__alpha	1
EG10250_RNA__alpha	1
EG10251_RNA__alpha	1
EG10252_RNA__alpha	1
EG10253_RNA__alpha	1
EG10254_RNA__alpha	1
EG10255_RNA__alpha	1
EG10256_RNA__alpha	1
EG10257_RNA__alpha	1
EG10258_RNA__alpha	1
EG10259_RNA__alpha	1
EG10260_RNA__alpha	1
EG10261_RNA__alpha	1
EG10262_RNA__alpha	1
EG10263_RNA__alpha	1
EG10264_RNA__alpha	1
EG10265_RNA__alpha	1
EG10266_RNA__alpha	1
EG10267_RNA__alpha	1
EG10268_RNA__alpha	1
EG10269_RNA__alpha	1
EG10270_RNA__alpha	1
EG10271_RNA__alpha	1
EG10272_RNA__alpha	1
EG10273_RNA__alpha	1
EG10274_RNA__alpha	1
EG10275_RNA__alpha	1
EG10276_RNA__alpha	1
EG10277_RNA__alpha	1
EG10278_RNA__PHOSPHO-ARCA	0
EG10278_RNA__alpha	1
EG10279_RNA__PHOSPHO-ARCA	0
EG10279_RNA__alpha	1
EG10280_RNA__PHOSPHO-ARCA	0
EG10280_RNA__alpha	1
EG10281_RNA__alpha	1
EG10282_RNA__alpha	1
EG10283_RNA__alpha	1
EG10284_RNA__alpha	1
EG10285_RNA__PHOSPHO-NARL	0
EG10285_RNA__alpha	1
EG10286_RNA__alpha	1
EG10287_RNA__alpha	1
EG10288_RNA__alpha	1
EG10289_RNA__alpha	1
EG10290_RNA__alpha	1
EG10291_RNA__alpha	1
EG10292_RNA__alpha	1
EG10293_RNA__alpha	1
EG10294_RNA__alpha	1
EG10295_RNA__alpha	1
EG10296_RNA__alpha	1
EG10297_RNA__alpha	1
EG10298_RNA__alpha	1
EG10299_RNA__alpha	1
EG10300_RNA__alpha	1
EG10301_RNA__FNR-4FE-4S-CPLX	0
EG10301_RNA__alpha	1
EG10302_RNA__alpha	1
EG10303_RNA__alpha	1
EG10304_RNA__alpha	1
EG10305_RNA__alpha	1
EG10306_RNA__alpha	1
EG10307_RNA__alpha	1
EG10308_RNA__alpha	1
EG10309_RNA__PD00288	0
EG10309_RNA__PHOSPHO-BASR	0
EG10309_RNA__alpha	1
EG10310_RNA__alpha	1
EG10311_RNA__alpha	1
EG10312_RNA__PD00288	0
EG10312_RNA__alpha	1
EG10313_RNA__PD00288	0
EG10313_RNA__alpha	1
EG10314_RNA__alpha	1
EG10315_RNA__alpha	1
EG10316_RNA__alpha	1
EG10317_RNA__PC00027	0
EG10317_RNA__alpha	1
EG10318_RNA__alpha	1
EG10319_RNA__PD00288	0
EG10319_RNA__alpha	1
EG10320_RNA__PD00288	0
EG10320_RNA__alpha	1
EG10321_RNA__alpha	1
EG10322_RNA__alpha	1
EG10323_RNA__alpha	1
EG10324_RNA__alpha	1
EG10325_RNA__PC00027	0
EG10325_RNA__alpha	1
EG10326_RNA__alpha	1
EG10327_RNA__alpha	1
EG10328_RNA__alpha	1
EG10329_RNA__alpha	1
EG10330_RNA__PHOSPHO-NARL	0
EG10330_RNA__PHOSPHO-DCUR	0
EG10330_RNA__alpha	1
EG10331_RNA__PHOSPHO-NARL	0
EG10331_RNA__PHOSPHO-DCUR	0
EG10331_RNA__alpha	1
EG10332_RNA__PHOSPHO-NARL	0
EG10332_RNA__PHOSPHO-DCUR	0
EG10332_RNA__alpha	1
EG10333_RNA__PHOSPHO-NARL	0
EG10333_RNA__PHOSPHO-DCUR	0
EG10333_RNA__alpha	1
EG10334_RNA__alpha	1
EG10335_RNA__alpha	1
EG10336_RNA__alpha	1
EG10337_RNA__alpha	1
EG10338_RNA__alpha	1
EG10339_RNA__alpha	1
EG10340_RNA__alpha	1
EG10341_RNA__alpha	1
EG10342_RNA__alpha	1
EG10343_RNA__alpha	1
EG10344_RNA__alpha	1
EG10345_RNA__alpha	1
EG10346_RNA__alpha	1
EG10347_RNA__alpha	1
EG10348_RNA__alpha	1
EG10349_RNA__alpha	1
EG10350_RNA__alpha	1
EG10351_RNA__alpha	1
EG10352_RNA__alpha	1
EG10353_RNA__alpha	1
EG10355_RNA__alpha	1
EG10356_RNA__alpha	1
EG10357_RNA__PHOSPHO-DCUR	0
EG10357_RNA__alpha	1
EG10358_RNA__alpha	1
EG10359_RNA__alpha	1
EG10360_RNA__alpha	1
EG10361_RNA__alpha	1
EG10362_RNA__alpha	1
EG10363_RNA__alpha	1
EG10364_RNA__alpha	1
EG10365_RNA__alpha	1
EG10366_RNA__alpha	1
EG10367_RNA__alpha	1
EG10368_RNA__alpha	1
EG10369_RNA__alpha	1
EG10370_RNA__alpha	1
EG10371_RNA__alpha	1
EG10372_RNA__CPLX0-7671	0
EG10372_RNA__alpha	1
EG10373_RNA__alpha	1
EG10374_RNA__alpha	1
EG10375_RNA__alpha	1
EG10376_RNA__alpha	1
EG10377_RNA__alpha	1
EG10378_RNA__alpha	1
EG10379_RNA__alpha	1
EG10380_RNA__alpha	1
EG10381_RNA__alpha	1
EG10382_RNA__alpha	1
EG10383_RNA__alpha	1
EG10384_RNA__alpha	1
EG10385_RNA__CPLX0-7705	0
EG10385_RNA__alpha	1
EG10386_RNA__alpha	1
EG10387_RNA__alpha	1
EG10388_RNA__alpha	1
EG10389_RNA__alpha	1
EG10390_RNA__alpha	1
EG10391_RNA__alpha	1
EG10392_RNA__alpha	1
EG10393_RNA__alpha	1
EG10394_RNA__alpha	1
EG10395_RNA__alpha	1
EG10396_RNA__alpha	1
EG10397_RNA__alpha	1
EG10398_RNA__alpha	1
EG10399_RNA__alpha	1
EG10400_RNA__alpha	1
EG10401_RNA__PC00027	0
EG10401_RNA__alpha	1
EG10402_RNA__alpha	1
EG10403_RNA__alpha	1
EG10404_RNA__alpha	1
