MolName	MolCounts
ACETYL-COA-ACETYLTRANSFER-MONOMER[c]	2
ACETYL-COA-CARBOXYLTRANSFER-CPLX[c]	555
CARBOXYL-TRANSFERASE-ALPHA-MONOMER[c]	0
CARBOXYL-TRANSFERASE-BETA-MONOMER[c]	612
ACETYLGLUTKIN-CPLX[c]	187
ACETYLGLUTKIN-MONOMER[c]	0
ACETYLORNDEACET-CPLX[c]	271
ACETYLORNDEACET-MONOMER[c]	0
ACETYLORNTRANSAM-CPLX[c]	200
ACETYLORNTRANSAM-MONOMER[c]	0
ACNEULY-CPLX[c]	22
ACNEULY-MONOMER[c]	1
ACPSUB-CPLX[c]	0
ACPSUB-MONOMER[c]	1
ACSERLYA-CPLX[c]	6596
ACSERLYA-MONOMER[c]	1
ACSERLYB-CPLX[c]	430
ACSERLYB-MONOMER[c]	1
ACYLCOASYN-CPLX[i]	0
ACYLCOASYN-MONOMER[i]	1
ADCLY-CPLX[c]	0
ADCLY-MONOMER[c]	1
ADENPRIBOSYLTRAN-CPLX[c]	967
ADENPRIBOSYLTRAN-MONOMER[c]	1
ADENYLOSUCCINATE-SYN-DIMER[c]	2034
ADENYLOSUCCINATE-SYN-MONOMER[c]	1
ADENYLYLSULFKIN-CPLX[c]	145
ADENYLYLSULFKIN-MONOMER[c]	1
ADHC-CPLX[c]	155
ADHC-MONOMER[c]	0
ADHE-CPLX[c]	100
ADHE-MONOMER[c]	7
AERGLYC3PDEHYDROG-CPLX[i]	2477
AERGLYC3PDEHYDROG-MONOMER[i]	1
AGMATIN-CPLX[c]	242
AGMATIN-MONOMER[c]	0
AIRS-CPLX[c]	755
AIRS-MONOMER[c]	0
AKBLIG-CPLX[c]	29
AKBLIG-MONOMER[c]	1
ALAS-CPLX[c]	683
ALAS-MONOMER[c]	0
ALD-CPLX[c]	201
LACTALDDEHYDROG-MONOMER[c]	3
ALKAPHOSPHA-CPLX[p]	20
ALKAPHOSPHA-MONOMER[p]	0
ALPHA-SUBUNIT-CPLX[i]	0
FDNI-MONOMER[i]	8
FDNH-MONOMER[i]	8
FDNG-MONOMER[p]	0
ALPHAGALACTOSID-CPLX[c]	9
ALPHAGALACTOSID-MONOMER[c]	0
AMINEOXID-CPLX[p]	5
AMINEOXID-MONOMER[p]	1
AMP-NUCLEOSID-CPLX[c]	215
AMP-NUCLEOSID-MONOMER[c]	2
ANGLYC3PDEHYDROG-CPLX[i]	81
ANGLYC3PDEHYDROGSUBUNITA-MONOMER[i]	0
ANGLYC3PDEHYDROGSUBUNITB-MONOMER[i]	6
ANGLYC3PDEHYDROGSUBUNITC-MONOMER[i]	8
ANSA-CPLX[c]	102
ANSA-MONOMER[c]	2
ANSB-CPLX[c]	4
ANSB-MONOMER[c]	0
ANTHRANSYN-CPLX[c]	263
ANTHRANSYNCOMPI-MONOMER[c]	800
ANTHRANSYNCOMPII-MONOMER[c]	1
APHA-CPLX[p]	15
APHA-MONOMER[p]	2
APORNAP-CPLX[c]	3191
EG10893-MONOMER[c]	45
RPOC-MONOMER[c]	0
RPOB-MONOMER[c]	74
APP-UBIOX-CPLX[i]	7
APPC-MONOMER[i]	0
APPB-MONOMER[i]	13
ARABISOM-CPLX[c]	1
ARABISOM-MONOMER[c]	5
ARCB-CPLX[i]	40
ARCB-MONOMER[i]	0
ARGDECARBOXBIO-CPLX[p]	259
ARGDECARBOXBIO-MONOMER[p]	2
ARGDECARBOXDEG-CPLX[c]	0
ARGDECARBOXDEG-MONOMER[c]	7
AROC-CPLX[c]	116
AROC-MONOMER[c]	1
AROD-CPLX[c]	241
AROD-MONOMER[c]	0
AROF-CPLX[c]	817
AROF-MONOMER[c]	0
AROG-CPLX[c]	1702
AROG-MONOMER[c]	0
AROH-CPLX[c]	331
AROH-MONOMER[c]	1
ASNS-CPLX[c]	1597
ASNS-MONOMER[c]	0
ASNSYNA-CPLX[c]	114
ASNSYNA-MONOMER[c]	1
ASNSYNB-CPLX[c]	417
ASNSYNB-MONOMER[c]	0
ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX[c]	3215
ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER[c]	0
ASPAMINOTRANS-DIMER[c]	3479
ASPAMINOTRANS-MONOMER[c]	0
ASPARTASE-CPLX[c]	20
ASPARTASE-MONOMER[c]	2
ASPCARBCAT-TRIMER[c]	312
ASPCARBCAT-MONOMER[c]	2
