CPLX0-7684	CPLX0-7684		TRANS-RXN0-269	TRANS-RXN0-269
LCTP-MONOMER	LCTP-MONOMER	GO:0015295 // GO:0043879 // GO:0015129	TRANS-RXN-104 // TRANS-RXN0-515 // TRANS-RXN-105 // TRANS-RXN0-622	TRANS-RXN-104 // TRANS-RXN0-515 // TRANS-RXN-105 // TRANS-RXN0-622
LACY-MONOMER	LACY-MONOMER	GO:0022857 // GO:0015293 // GO:0030395 // GO:0005351 // GO:0005515 // GO:0015528	TRANS-RXN-24 // TRANS-RXN-94 // RXN0-7215 // RXN0-7217 // RXN-17755	TRANS-RXN-24 // TRANS-RXN-94 // RXN0-7215 // RXN0-7217 // RXN-17755
CPLX0-7627	CPLX0-7627		TRANS-RXN-86	TRANS-RXN-86
ABC-304-CPLX	ABC-304-CPLX		ABC-35-RXN // TRANS-RXN-312	ABC-35-RXN // TRANS-RXN-312
G6984-MONOMER	G6984-MONOMER	GO:0015171 // GO:0015190	TRANS-RXN0-270 // RXN0-7050	TRANS-RXN0-270 // RXN0-7050
G6561-MONOMER	G6561-MONOMER	GO:1901612 // GO:0015648	TRANS-RXN0-286	TRANS-RXN0-286
EG11486-MONOMER	EG11486-MONOMER	GO:0140303	TRANS-RXN0-279	TRANS-RXN0-279
CPLX0-7992	CPLX0-7992		TRANS-RXN-237	TRANS-RXN-237
ABC-62-CPLX	ABC-62-CPLX		RXN-22427	RXN-22427
EG10280-MONOMER	EG10280-MONOMER	GO:0022834 // GO:0015483	RXN0-1802	RXN0-1802
ACYLCOASYN-CPLX	ACYLCOASYN-CPLX		RXN-9644 // PROPIONATE--COA-LIGASE-RXN // ACYLCOASYN-RXN // TRANS-RXN0-623 // RXN0-7238 // RXN0-7239 // RXN0-7248	RXN-9644 // PROPIONATE--COA-LIGASE-RXN // ACYLCOASYN-RXN // TRANS-RXN0-623 // RXN0-7238 // RXN0-7239 // RXN0-7248
GNTU-MONOMER	GNTU-MONOMER	GO:0005402 // GO:0015128	TRANS-RXN0-209	TRANS-RXN0-209
ABC-3-CPLX	ABC-3-CPLX		ABC-37-RXN // ABC-4-RXN // ABC-3-RXN	ABC-37-RXN // ABC-4-RXN // ABC-3-RXN
CADB-MONOMER	CADB-MONOMER	GO:0022857 // GO:0015297 // GO:0015295 // GO:0043872	TRANS-RXN-68 // TRANS-RXN0-212	TRANS-RXN-68 // TRANS-RXN0-212
LYSP-MONOMER	LYSP-MONOMER	GO:0015171 // GO:0005515 // GO:0008134 // GO:0015189 // GO:0042802	TRANS-RXN-58	TRANS-RXN-58
EG12455-MONOMER	EG12455-MONOMER	GO:0022857 // GO:0051978 // GO:0005319	TRANS-RXN-294 // TRANS-RXN-295 // TRANS-RXN-387	TRANS-RXN-294 // TRANS-RXN-295 // TRANS-RXN-387
ABC-16-CPLX	ABC-16-CPLX	GO:0140297 // GO:0015423	ABC-16-RXN // TRANS-RXN0-504 // TRANS-RXN0-503	ABC-16-RXN // TRANS-RXN0-504 // TRANS-RXN0-503
CPLX0-7655	CPLX0-7655		RXN0-1741 // RXN0-1804	RXN0-1741 // RXN0-1804
CPLX-166	CPLX-166		TRANS-RXN-156 // TRANS-RXN-169	TRANS-RXN-156 // TRANS-RXN-169
CPLX-156	CPLX-156		TRANS-RXN-156	TRANS-RXN-156
CPLX-165	CPLX-165	GO:0090591 // GO:0090590 // GO:0022855 // GO:0022880 // GO:0022877 // GO:0022870	TRANS-RXN-165 // TRANS-RXN0-540 // TRANS-RXN0-446 // TRANS-RXN-167A // TRANS-RXN-157 // TRANS-RXN-167 // TRANS-RXN-158A	TRANS-RXN-165 // TRANS-RXN0-540 // TRANS-RXN0-446 // TRANS-RXN-167A // TRANS-RXN-157 // TRANS-RXN-167 // TRANS-RXN-158A
MELB-MONOMER	MELB-MONOMER	GO:0022857 // GO:0015293 // GO:0005515 // GO:0015592 // GO:0043887 // GO:0015486 // GO:0015487	TRANS-RXN-94 // RXN-17755 // TRANS-RXN-94B // TRANS-RXN-94A // TRANS-RXN0-520 // TRANS-RXN0-519	TRANS-RXN-94 // RXN-17755 // TRANS-RXN-94B // TRANS-RXN-94A // TRANS-RXN0-520 // TRANS-RXN0-519
PITA-MONOMER	PITA-MONOMER	GO:0005515 // GO:0015654 // GO:1901683 // GO:0015295 // GO:0005385 // GO:0005315	TRANS-RXN-114 // TRANS-RXN-279 // TRANS-RXN-278 // TRANS-RXN-277 // TRANS-RXN0-550 // TRANS-RXN-280	TRANS-RXN-114 // TRANS-RXN-279 // TRANS-RXN-278 // TRANS-RXN-277 // TRANS-RXN0-550 // TRANS-RXN-280
