Matches	Ontology -  all instances of class from New SmartTable with a nucleotide	Synonyms	Object ID
a nucleotide	cyclic 3',5'-cytidine monophosphate	cyclic-CMP // cytidine cyclic-monophosphate // cyclic 3',5'-CMP // cytidine 3',5'-cyclic monophosphate	CPD-683
a nucleotide	cyclic 3',5'-thymidine monophosphate	thymidine 3',5'-cyclic monophosphate	CPD-3733
a nucleotide	cyclic 3'5'-uridine monophosphate	uridine 3',5'-cyclic monophosphate	CPD-3727
a nucleotide	cyclic di-3',5'-guanylate	cyclic di-3',5'-GMP // c-di-guanylate // cyclic bis(3' -> 5') dimeric GMP	C-DI-GMP
a nucleotide	cyclic-AMP	cyclic 3',5'-AMP // 3',5'-cyclic AMP // adenosine cyclic-3',5'-monophosphate // adenosine cyclic-monophosphate // adenosine-cyclic-phosphoric-acid // cAMP // adenosine-cyclic-phosphate // adenosine-3',5'-monophosphate // adenosine 3',5'-cyclic phosphate // adenosine-3',5'-cyclic monophosphate // cyclic-3',5'-adenosine monophosphate	CAMP
a nucleotide	cyclic-GMP	3',5'-cyclic GMP // guanosine-cyclic-phosphoric-acid // cGMP // guanosine cyclic-monophosphate // guanosine 3',5'-cyclic-monophosphate // guanosine 3',5'-cyclic phosphate // cyclic 3',5'-guanosine monophosphate	CGMP
a nucleotide	cytidine 2',3'-cyclic monophosphate	2',3'-cyclic CMP // cyclic cytidine 2',3'-monophosphate	CPD-3713
a nucleotide	cytidine 2'-monophosphate	2'-cytidylic acid // cytidine 2'-phosphate // 2'-CMP	CPD-3710
a nucleotide	dADP	2'-deoxyadenosine-5'-diphosphate // deoxyadenosine-diphosphate	DADP
a nucleotide	dAMP	2'-deoxyadenosine 5'-phosphate // deoxyadenosine-phosphate // 2'-deoxyadenosine 5''-monophosphate // 2'-dAMP	DAMP
a nucleotide	dATP	2'-deoxyATP // 2'-deoxyadenosine triphosphate // deoxy-ATP // deoxyadenosine-triphosphate // 2'-deoxyadenosine-5'-triphosphate	DATP
a nucleotide	dCDP	2'-deoxycytidine diphosphate // 2'-deoxycytidine-5'-diphosphate // deoxycytidine-diphosphate	DCDP
