Object ID	Transporters	Gene	Reactions	Reaction-Direction	GO terms (molecular function)	GO terms (cellular component)	GO terms (biological process)
RXN0-5205 // 3.6.3.3-RXN // TRANS-RXN-452	YHHO-MONOMER	EG12215	RXN0-5205 // 3.6.3.3-RXN // TRANS-RXN-452	PHYSIOL-LEFT-TO-RIGHT	GO:0015086 // GO:0005385 // GO:0019829 // GO:0046872 // GO:0005524 // GO:0000166 // GO:0016887 // GO:0015094 // GO:0008551 // GO:0016463	GO:0005887 // GO:0016020 // GO:0005886 // GO:0016021	GO:0006812 // GO:0030001 // GO:0006811 // GO:0006829 // GO:0010312 // GO:0035444 // GO:0006882 // GO:0010043 // GO:0010288 // GO:0098655 // GO:0071577 // GO:0070574 // GO:0046686 // GO:0015692
TRANS-RXN0-452	ABGT-MONOMER	EG12853	TRANS-RXN0-452	REVERSIBLE	GO:0015291 // GO:0015558	GO:0016020 // GO:0005886 // GO:0016021	GO:1902604 // GO:0006865 // GO:0015814
TRANS-RXN-14	CYNX-MONOMER	EG10177	TRANS-RXN-14	LEFT-TO-RIGHT	GO:0022857	GO:0016020 // GO:0005886 // GO:0016021	GO:0055085 // GO:0009440
TRANS-RXN-300 // TRANS-RXN-299 // TRANS-RXN0-517 // TRANS-RXN0-451 // TRANS-RXN-122A // TRANS-RXN-121C // TRANS-RXN0-553 // TRANS-RXN-121A // TRANS-RXN-121	DCTA-MONOMER	EG20044	TRANS-RXN-300 // TRANS-RXN-299 // TRANS-RXN0-517 // TRANS-RXN0-451 // TRANS-RXN-122A // TRANS-RXN-121C // TRANS-RXN0-553 // TRANS-RXN-121A // TRANS-RXN-121	REVERSIBLE	GO:0022857 // GO:0015293 // GO:0005515 // GO:0015366 // GO:0015141 // GO:0015138 // GO:0015183	GO:0016020 // GO:0005887 // GO:0005886 // GO:0016021	GO:0071423 // GO:0071422 // GO:0006835 // GO:0006974 // GO:0070778 // GO:0015741
RXN0-1924 // RXN0-1923	EG11639-MONOMER	EG11639	RXN0-1924 // RXN0-1923	LEFT-TO-RIGHT	GO:0015562	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0006865 // GO:0070301 // GO:0033228
TRANS-RXN0-447	EG11724-MONOMER	EG11724	TRANS-RXN0-447	REVERSIBLE	GO:0015205 // GO:0005345 // GO:0022857 // GO:0015207 // GO:0015295	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:1904823 // GO:1902600 // GO:0055085 // GO:0015853
RXN0-4083	YGJU-MONOMER	EG12732	RXN0-4083	REVERSIBLE	GO:0022857 // GO:0015171 // GO:0015293 // GO:0015175 // GO:0005295	GO:0016020 // GO:0016021 // GO:0005886	GO:0003333 // GO:0055085 // GO:0006865 // GO:0015826 // GO:0032329
TRANS-RXN0-487	G6999-MONOMER	G6999	TRANS-RXN0-487	LEFT-TO-RIGHT	GO:0005384	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0006811 // GO:0071421 // GO:0010042
TRANS-RXN0-267 // TRANS-RXN0-288	YHIP-MONOMER	EG12232	TRANS-RXN0-267 // TRANS-RXN0-288	REVERSIBLE	GO:1904680 // GO:0022857 // GO:0015078 // GO:0071916 // GO:0015333 // GO:0042937	GO:0016020 // GO:0016021 // GO:0005887 // GO:0005886	GO:0042939 // GO:0042938 // GO:0055085 // GO:0015833 // GO:0006857 // GO:0015031 // GO:1902600 // GO:0035442 // GO:0035443
TRANS-RXN-415	YJHB-MONOMER	EG12544	TRANS-RXN-415	REVERSIBLE	GO:0022857 // GO:0046943	GO:0016021 // GO:0016020 // GO:0005886	GO:0046942 // GO:0055085 // GO:1905039
TRANS-RXN-76 // TRANS-RXN-77 // TRANS-RXN-56	AROP-MONOMER	EG10084	TRANS-RXN-76 // TRANS-RXN-77 // TRANS-RXN-56	REVERSIBLE	GO:0015192 // GO:0015196 // GO:0005302	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005887	GO:0055085 // GO:0006865 // GO:0015823 // GO:0015827 // GO:0015828
TRANS-RXN0-562 // TRANS-RXN0-578	EG11939-MONOMER	EG11939	TRANS-RXN0-562 // TRANS-RXN0-578	RIGHT-TO-LEFT // LEFT-TO-RIGHT	GO:0022857 // GO:0015208 // GO:0005345	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0055085 // GO:0098710 // GO:0035344 // GO:0006863
TRANS-RXN0-282	HCAT-MONOMER	G7330	TRANS-RXN0-282	LEFT-TO-RIGHT	GO:0030395 // GO:0015528 // GO:0015293	GO:0005887 // GO:0016021 // GO:0016020 // GO:0005886	GO:0071702 // GO:0015767 // GO:0055085
TRANS-RXN-69	B1296-MONOMER	G6643	TRANS-RXN-69	REVERSIBLE	GO:0015295 // GO:0015489	GO:0016020 // GO:0016021 // GO:0005886	GO:0055085 // GO:1902600 // GO:0006974 // GO:0006865 // GO:0015847 // GO:0009447
TRANS-RXN0-275	G6531-MONOMER	G6531	TRANS-RXN0-275	LEFT-TO-RIGHT	GO:1901515 // GO:0015159	GO:0016021 // GO:0016020 // GO:0045203 // GO:0009279	GO:0098656 // GO:0044010 // GO:0015774
TRANS-RXN-118 // TRANS-RXN0-505	PUTP-MONOMER	EG10802	TRANS-RXN-118 // TRANS-RXN0-505	REVERSIBLE // LEFT-TO-RIGHT	GO:0022857 // GO:0015293 // GO:0031402 // GO:0005298	GO:0016021 // GO:0016020 // GO:0005886 // GO:0005887	GO:0035524 // GO:0006865 // GO:0055085 // GO:0006814 // GO:0006811 // GO:0015912 // GO:0015824
TRANS-RXN-340 // TRANS-RXN-44	BCR-MONOMER	EG11419	TRANS-RXN-340 // TRANS-RXN-44	REVERSIBLE	GO:0022857 // GO:0042910 // GO:0015299 // GO:0033229 // GO:0071916	GO:0016021 // GO:0016020 // GO:0005887 // GO:0005886	GO:0042908 // GO:0015833 // GO:0015031 // GO:0055085 // GO:0046677 // GO:1990961 // GO:0033228 // GO:0035442
TRANS-RXN0-587 // RXN0-17	MONOMER0-5	G7264	TRANS-RXN0-587 // RXN0-17	LEFT-TO-RIGHT // PHYSIOL-LEFT-TO-RIGHT	GO:0090563 // GO:0016301 // GO:0016740 // GO:0008982 // GO:0090588	GO:0016021 // GO:0005887 // GO:0005886 // GO:0016020	GO:0016310 // GO:0008643 // GO:0034219 // GO:0009401
