Object ID	Transporters	Gene	Reactions	Reaction-Direction	GO terms (molecular function)	GO terms (cellular component)	GO terms (biological process)
RXN0-3501 // RXN-15119	NITRATREDUCTZ-CPLX	EG10647 // EG10648 // EG10644	RXN0-3501 // RXN-15119	LEFT-TO-RIGHT	GO:0051538 // GO:0051539 // GO:0051536 // GO:0043546 // GO:0009055 // GO:0008940	GO:0005886 // GO:0009325 // GO:0016020	GO:0019645 // GO:0009061
TRANS-RXN0-593 // TRANS-RXN-291 // TRANS-RXN0-508 // TRANS-RXN0-513 // TRANS-RXN-290 // TRANS-RXN0-617	CPLX0-8152	EG12347 // G7037 // G7039	TRANS-RXN0-593 // TRANS-RXN-291 // TRANS-RXN0-508 // TRANS-RXN0-513 // TRANS-RXN-290 // TRANS-RXN0-617	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN0-181	TATABCE-CPLX	G7808 // EG11479 // EG11305 // G7806	TRANS-RXN0-181	PHYSIOL-LEFT-TO-RIGHT	GO:0009977	GO:0033281	GO:0043953 // GO:0065002
TRANS-RXN-132	CPLX0-8247	EG12129	TRANS-RXN-132	REVERSIBLE			
TRANS-RXN-86	CPLX0-7626	EG11160	TRANS-RXN-86	LEFT-TO-RIGHT			
TRANS-RXN0-268 // ABC-8-RXN // 3.6.3.23-RXN	ABC-41-CPLX	EG12041 // EG12038 // EG12040 // EG12037	TRANS-RXN0-268 // ABC-8-RXN // 3.6.3.23-RXN	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN0-276	CPLX0-7720	G0-10460 // G7171	TRANS-RXN0-276	LEFT-TO-RIGHT			
RXN0-1701	CPLX0-1942	 // EG10302	RXN0-1701	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-161 // TRANS-RXN-169	CPLX0-231	EG12416 // EG12415 // EG12414	TRANS-RXN-161 // TRANS-RXN-169	PHYSIOL-LEFT-TO-RIGHT // LEFT-TO-RIGHT	GO:0090584 // GO:0090583		GO:0015795 // GO:0009401 // GO:0015796
ABC-24-RXN // ABC-25-RXN	ABC-24-CPLX	EG10749 // EG10750 // EG10751 // EG10752	ABC-24-RXN // ABC-25-RXN	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-129 // TRANS-RXN-292	CPLX0-7629	EG10652	TRANS-RXN-129 // TRANS-RXN-292	REVERSIBLE			
TRANS-RXN0-492 // TRANS-RXN0-491	ABC-46-CPLX	EG12439 // EG12518 // EG12520 // EG12517	TRANS-RXN0-492 // TRANS-RXN0-491	PHYSIOL-LEFT-TO-RIGHT	GO:0015399	GO:0043190	GO:0055085
RXN0-1741 // RXN0-1804	CPLX0-7655	EG10528	RXN0-1741 // RXN0-1804	LEFT-TO-RIGHT		GO:0009279	
ABC-63-RXN	ABC-63-CPLX	G7018 // EG12368 // G7017	ABC-63-RXN	PHYSIOL-LEFT-TO-RIGHT			
RXN-21817	CYT-O-UBIOX-CPLX	EG10181 // EG10178 // EG10179 // EG10180	RXN-21817	PHYSIOL-LEFT-TO-RIGHT	GO:0005507 // GO:0020037 // GO:0015078 // GO:0009055 // GO:0009486 // GO:0015453	GO:0005887 // GO:0005886 // GO:0009319	GO:0009060 // GO:0015990 // GO:0019646
TRANS-RXN-155B // TRANS-RXN-155	CPLX-155	EG10142 // EG10141 // EG10140	TRANS-RXN-155B // TRANS-RXN-155	PHYSIOL-LEFT-TO-RIGHT // LEFT-TO-RIGHT	GO:0090566		GO:1902815 // GO:0009401
RXN0-2501	CPLX0-7961	EG12331	RXN0-2501	REVERSIBLE			
TRANS-RXN-205A	CPLX0-8097	EG10928	TRANS-RXN-205A	REVERSIBLE			
ABC-11-RXN // TRANS-RXN-297 // TRANS-RXN-298	ABC-11-CPLX	EG10304 // EG10303 // EG10305	ABC-11-RXN // TRANS-RXN-297 // TRANS-RXN-298	PHYSIOL-LEFT-TO-RIGHT	GO:0015344	GO:0043190	GO:0015687
RXN-22326 // ABC-27-RXN	ABC-27-CPLX	EG10783 // EG10782 // EG10784 // EG10734	RXN-22326 // ABC-27-RXN	PHYSIOL-LEFT-TO-RIGHT			
ABC-5-RXN // TRANS-RXN-296	ABC-5-CPLX	EG10128 // EG10127 // EG12334	ABC-5-RXN // TRANS-RXN-296	PHYSIOL-LEFT-TO-RIGHT			
ABC-70-RXN // ABC-7-RXN // TRANS-RXN0-478 // TRANS-RXN0-479 // ABC-19-RXN	ABC-70-CPLX	EG10929 // EG10198 // EG10197 // EG10183	ABC-70-RXN // ABC-7-RXN // TRANS-RXN0-478 // TRANS-RXN0-479 // ABC-19-RXN	PHYSIOL-LEFT-TO-RIGHT			
RXN-9644 // PROPIONATE--COA-LIGASE-RXN // ACYLCOASYN-RXN // TRANS-RXN0-623 // RXN0-7238 // RXN0-7239 // RXN0-7248	ACYLCOASYN-CPLX	EG11530	RXN-9644 // PROPIONATE--COA-LIGASE-RXN // ACYLCOASYN-RXN // TRANS-RXN0-623 // RXN0-7238 // RXN0-7239 // RXN0-7248	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN0-582 // TRANS-RXN0-618 // TRANS-RXN-158	CPLX-158	G7990 // EG10336	TRANS-RXN0-582 // TRANS-RXN0-618 // TRANS-RXN-158	PHYSIOL-LEFT-TO-RIGHT // LEFT-TO-RIGHT	GO:0090582		GO:0015761 // GO:0009401 // GO:0032445
NADH-DEHYDROG-A-RXN // RXN0-5388	NADH-DHI-CPLX	EG12082 // EG12088 // EG12090 // EG12091 // EG12092 // EG11773 // EG12093 // 	NADH-DEHYDROG-A-RXN // RXN0-5388	REVERSIBLE // LEFT-TO-RIGHT	GO:0005509 // GO:0046583 // GO:0008137	GO:0045272	GO:0015990 // GO:0019645 // GO:0019646 // GO:0030965 // GO:0009061
RXN0-2481 // RXN0-7241 // RXN0-7211 // RXN0-7210 // RXN-15315 // RXN0-0 // RXN0-7209 // RXN0-7208 // RXN0-7207 // RXN0-7206 // RXN0-7204 // RXN0-1741 // TRANS-RXN0-445 // RXN0-7203 // RXN0-7202 // RXN0-7201 // RXN0-7200 // RXN0-7199 // RXN0-7247 // RXN0-7246 // TRANS-RXN-380 // RXN0-7245 // TRANS-RXN0-490 // RXN0-7244 // RXN0-7243 // RXN0-7242 // TRANS-RXN0-615 // TRANS-RXN0-614 // TRANS-RXN0-612 // TRANS-RXN0-611 // TRANS-RXN0-609 // TRANS-RXN0-608 // TRANS-RXN0-607 // TRANS-RXN0-606 // TRANS-RXN0-604 // TRANS-RXN0-603 // TRANS-RXN0-601 // TRANS-RXN0-598	CPLX0-7530	EG10729	RXN0-2481 // RXN0-7241 // RXN0-7211 // RXN0-7210 // RXN-15315 // RXN0-0 // RXN0-7209 // RXN0-7208 // RXN0-7207 // RXN0-7206 // RXN0-7204 // RXN0-1741 // TRANS-RXN0-445 // RXN0-7203 // RXN0-7202 // RXN0-7201 // RXN0-7200 // RXN0-7199 // RXN0-7247 // RXN0-7246 // TRANS-RXN-380 // RXN0-7245 // TRANS-RXN0-490 // RXN0-7244 // RXN0-7243 // RXN0-7242 // TRANS-RXN0-615 // TRANS-RXN0-614 // TRANS-RXN0-612 // TRANS-RXN0-611 // TRANS-RXN0-609 // TRANS-RXN0-608 // TRANS-RXN0-607 // TRANS-RXN0-606 // TRANS-RXN0-604 // TRANS-RXN0-603 // TRANS-RXN0-601 // TRANS-RXN0-598	REVERSIBLE // LEFT-TO-RIGHT			
ABC-14-RXN	ABC-14-CPLX	EG10452 // EG10007 // EG12125 // EG12124	ABC-14-RXN	PHYSIOL-LEFT-TO-RIGHT	GO:0005291	GO:0043190	GO:1903810 // GO:0089709
ABC-37-RXN // ABC-4-RXN // ABC-3-RXN	ABC-3-CPLX	EG12125 // EG10452 // EG10007 // EG10072	ABC-37-RXN // ABC-4-RXN // ABC-3-RXN	PHYSIOL-LEFT-TO-RIGHT			
TRANS-RXN-29 // TRANS-RXN-29A	CPLX0-7642	EG11612	TRANS-RXN-29 // TRANS-RXN-29A	REVERSIBLE			
RXN0-5256	FORMHYDROG2-CPLX	EG11799 // EG11800 // G7554 // EG11801	RXN0-5256	REVERSIBLE	GO:0033748 // GO:0009055 // GO:0016151 // GO:0005506 // GO:0047067	GO:0031236 // GO:0044569	GO:0009061 // GO:0019588 // GO:0019645 // GO:1902421
TRANS-RXN-165 // TRANS-RXN0-540 // TRANS-RXN0-446 // TRANS-RXN-167A // TRANS-RXN-157 // TRANS-RXN-167 // TRANS-RXN-158A	CPLX-165	EG10569 // EG10568 // EG10567	TRANS-RXN-165 // TRANS-RXN0-540 // TRANS-RXN0-446 // TRANS-RXN-167A // TRANS-RXN-157 // TRANS-RXN-167 // TRANS-RXN-158A	PHYSIOL-LEFT-TO-RIGHT // LEFT-TO-RIGHT	GO:0090591 // GO:0090590 // GO:0022855 // GO:0022880 // GO:0022877 // GO:0022870		GO:0098708 // GO:0015764 // GO:0015761 // GO:0032445 // GO:0075733 // GO:0009401
TRANS-RXN-365	CPLX0-2161	 // G7233 // EG13283	TRANS-RXN-365	PHYSIOL-LEFT-TO-RIGHT			
